Language Code,Source,Sid,Xid,Title,Display Date,SHORT TITLE,Abstract,Content Type (AG),Processed Offname Text,Processed Offering version Number,Support Zone Access Level,Doc Type,Keywords,Admin,Config,Install,Using,Troubleshoot,Plan,Maintain,Customize,Optimize
en_US,publisher,docu1001,docu1001,Nayworker Module for MEDITECH Release 1.0 Administrator's Guide,"Oct 1, 2006 12:00 AM",Administrator's Guide 1.0,The CME Nayworker Module for MEDITECH Administrator's Guide provides information to backup and recover data in a MEDITECH environment with CLARiiON storage.,Documentation,Nayworker Module for MEDITECH,1,10,Manual and Guides,,Administer,,,,,,,,
en_US,publisher,docu1002,docu1002,Nayworker Module For MEDITECH Release 1.0 Installation Guide,"Oct 1, 2006 12:00 AM",0,The CME Nayworker Module for MEDITECH Installation Guide provides information for installing and configuring this Nayworker Module in a MEDITECH environment with CLARiiON storage.,Documentation,Nayworker Module for MEDITECH,1,10,Manual and Guides,,,,Install,,,,,,
en_US,publisher,docu1003,docu1003,Nayworker Module for Documen 1.0 Solaris and Microsoft Windows Version Best Practices Guide,"Jan 1, 2007 12:00 AM",Best Practices Guide 1.0,"The guide provides information on best practices for installing, configuring, and using the NMD 1.0 software for Documen Content Server backup and recovery operations.",Documentation,Nayworker Module for Documen,1,10,Manual and Guides,,Administer,Configure,,,,,,,
en_US,publisher,docu1004,docu1004,Nayworker Module for Documen 1.0 Solaris and Microsoft Windows Version Administrator's Guide,"Dec 1, 2006 12:00 AM",Administrator's Guide 1.0,"The guide provides information how to configure, use, and maintain the NMD 1.0 software for Documen Content Server backup and recovery operations.",Documentation,Nayworker Module for Documen,1,10,Manual and Guides,,Administer,,,,,,,,
en_US,publisher,docu1005,docu1005,Nayworker Module for Documen 1.0 Installation Guide,"Mar 31, 2005 12:00 AM",Installation Guide 1.0,"This guide describes how to install, configure, upgrade, or uninstall Nayworker Module for Documen on Solaris and Windows.",Documentation,Nayworker Module for Documen,1,10,Manual and Guides,,,,Install,,,,,,
en_US,publisher,docu1006,docu1006,Nayworker Module for Documen 1.0 Command Reference Guide,"Dec 1, 2004 12:00 AM",Reference Guide 1.0,The Nayworker Command Reference Guide describes commands and resources that you might encounter while running Nayworker products.,Documentation,Nayworker Module for Documen,1,10,Reference,,Administer,,,Using,,,,,
en_US,publisher,docu1007,docu1007,Nayworker Module for Documen Release 1.1 Multiplatform Version Best Practices Guide,"Mar 7, 2007 12:00 AM",Best Practices Guide 1.1,"The guide provides information on best practices for installing, configuring, and using the NMD 1.1 software for Documen Content Server backup and recovery operations.",Documentation,Nayworker Module for Documen,1.1,10,Manual and Guides,,Administer,Configure,,,,,,,
en_US,publisher,docu1008,docu1008,Nayworker Module for Documen Release 1.1 Multiplatform Version Administration Guide,"Mar 7, 2007 12:00 AM",Administrator's Guide 1.1,"The guide provides information how to configure, use, and maintain the NMD 1.1 software for Documen Content Server backup and recovery operations.",Documentation,Nayworker Module for Documen,1.1,10,Manual and Guides,,Administer,,,,,,,,
en_US,publisher,docu1009,docu1009,"Nayworker Module for Documen, Release 1.1, Multiplatform Version, Installation Guide","Mar 7, 2007 12:00 AM",Installation Guide 1.1,The guide provides information on how to install and enable the NMD 1.1 software on a Documen Server host.,Documentation,Nayworker Module for Documen,1.1,10,Manual and Guides,,,,Install,,,,,,
en_US,publisher,docu1010,docu1010,"Nayworker Module for Documen, Release 1.1, Multiplatform Version, Command Reference Guide","Jun 20, 2006 12:00 AM",Reference Guide 1.1,"CME Nayworker Module for Documen, Release 1.1, Multiplatform Version, Command Reference Guide",Documentation,Nayworker Module for Documen,1.1,10,Reference,,Administer,,,Using,,,,,
